frame_index,timestamp_s,source_video,frame_path,blur_score,exposure_score,redundancy_score,composite_score,selected_automatically,override,selected
100,3.332,video_20260825_154043.mp4,preprocessing/candidates/frame_000100.jpg,0.135736,0.836113,0.471369,0.446539,True,NONE,True
104,3.465278,video_20260825_154043.mp4,preprocessing/candidates/frame_000104.jpg,0.076157,0.829134,0.529632,0.438093,True,NONE,True
108,3.598556,video_20260825_154043.mp4,preprocessing/candidates/frame_000108.jpg,0.050904,0.826168,0.455958,0.404999,False,NONE,False
112,3.731844,video_20260825_154043.mp4,preprocessing/candidates/frame_000112.jpg,0.056494,0.816538,0.444008,0.400762,False,NONE,False
116,3.865122,video_20260825_154043.mp4,preprocessing/candidates/frame_000116.jpg,0.072343,0.822037,0.479222,0.419315,True,NONE,True
120,3.9984,video_20260825_154043.mp4,preprocessing/candidates/frame_000120.jpg,0.076265,0.82395,0.553121,0.443627,True,NONE,True
124,4.131678,video_20260825_154043.mp4,preprocessing/candidates/frame_000124.jpg,0.12217,0.824537,0.623821,0.483376,True,NONE,True
128,4.264956,video_20260825_154043.mp4,preprocessing/candidates/frame_000128.jpg,0.014764,0.830563,0.601558,0.435542,True,NONE,True
132,4.398244,video_20260825_154043.mp4,preprocessing/candidates/frame_000132.jpg,0.363164,0.809807,0.521477,0.544651,True,NONE,True
136,4.531522,video_20260825_154043.mp4,preprocessing/candidates/frame_000136.jpg,0.27407,0.785707,0.489321,0.492137,True,NONE,True
140,4.6648,video_20260825_154043.mp4,preprocessing/candidates/frame_000140.jpg,0.36651,0.769651,0.53279,0.537336,True,NONE,True
144,4.798078,video_20260825_154043.mp4,preprocessing/candidates/frame_000144.jpg,0.374281,0.763785,0.567369,0.549059,True,NONE,True
148,4.931356,video_20260825_154043.mp4,preprocessing/candidates/frame_000148.jpg,0.316997,0.761971,0.613273,0.539372,True,NONE,True
152,5.064644,video_20260825_154043.mp4,preprocessing/candidates/frame_000152.jpg,0.357483,0.765867,0.632288,0.562439,True,NONE,True
